PrivateID,RepositoryName,RepositoryURL,Organization,ContactEmails,DateAdded
github_51927117,template,https://github.com/CDCgov/template,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799748
github_51927721,code-of-conduct,https://github.com/CDCgov/code-of-conduct,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799761
github_54219993,U50,https://github.com/CDCgov/U50,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799765
github_58743923,cdcgov.github.io,https://github.com/CDCgov/cdcgov.github.io,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799767
github_59322008,PoSE,https://github.com/CDCgov/PoSE,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799770
github_65215952,SDP,https://github.com/CDCgov/SDP,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799772
github_68638942,SDP-Vocabulary-Service,https://github.com/CDCgov/SDP-Vocabulary-Service,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799775
github_75193213,SDP-Slide-Test,https://github.com/CDCgov/SDP-Slide-Test,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799777
github_78653061,xlr,https://github.com/CDCgov/xlr,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799779
github_83164458,concept-dictionary-manager,https://github.com/CDCgov/concept-dictionary-manager,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799781
github_83164834,test-dictionary-service,https://github.com/CDCgov/test-dictionary-service,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799783
github_87834081,NLPWorkbench,https://github.com/CDCgov/NLPWorkbench,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799789
github_87851629,SDP-CBR,https://github.com/CDCgov/SDP-CBR,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799791
github_87851782,phinvads-sync-util,https://github.com/CDCgov/phinvads-sync-util,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799795
github_90095584,phin-vads-db,https://github.com/CDCgov/phin-vads-db,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799798
github_92863936,SDP-CBR-Broker,https://github.com/CDCgov/SDP-CBR-Broker,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799800
github_95032486,openshift-fluentd-forwarder,https://github.com/CDCgov/openshift-fluentd-forwarder,CDCgov,shareit@cdc.gov,2025-07-03T19:50:06.799802
