privateID,repositoryName,usageType,exemptionText,timestamp
gitlab_69325486,MyNodeJS,exemptByLaw,This specific module interfaces with classified national security systems.,2025-06-07T20:35:35.647087+00:00
gitlab_69325396,csels-hub,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T20:35:35.655182+00:00
github_633528413,cdc-coe-gar-hl7-ci-runner,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.794349+00:00
github_875968950,cdc-dead-letter-queues-handler,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.803473+00:00
github_858881803,cfa-polars-intro,exemptByCIO,"Code is experimental/demo/exploratory and do not qualify as 'custom-developed code' under the Share IT Act. (AI Reason: The README explicitly frames the repository as an ""introduction"" to Python polars, providing learning materials like example scripts (`crash_course.py`, `cheat_sheet.py`, `task_no_hints.py`, `task_with_hints.py`, `task_solution.py`) to guide users through the process of learning the library.  The focus is on education and exploration, not on a production-ready tool.)",2025-06-07T21:47:58.824639+00:00
github_680654258,data-ecosystem-poc,exemptByCIO,"Code is experimental/demo/exploratory and do not qualify as 'custom-developed code' under the Share IT Act. (AI Reason: The README explicitly labels the repository as a ""Proof of Concept"" (POC) for the CDC Data Ecosystem Services (PADE).)",2025-06-07T21:47:58.840100+00:00
github_823748716,cdc-edso-devlake,exemptNonCode,Non-code repository (languages: [Shell]),2025-06-07T21:47:58.856432+00:00
github_962306851,cfa-ixa-vaccine-trial-test,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.872079+00:00
github_498847481,davt_od_datalake,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.889875+00:00
github_936132945,cfa-test-demo,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.908234+00:00
github_971595082,nccdphp-osh-apps-mcrc-mcrc-rewrite-admin-dynamics-artifacts,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.925498+00:00
github_658851848,pass-pipe-contain,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.943033+00:00
github_877377980,cfa-reusable-workflows,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.959427+00:00
github_914397956,phdo-docs,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.975413+00:00
github_776184632,mpox-Rt-2024,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:58.995082+00:00
github_874372355,cdc-vaccineevent-logger,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:59.014487+00:00
github_626971678,EDAVADFDEMO,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:59.033033+00:00
github_647382521,custom-action-consumer,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:59.051640+00:00
github_397213406,EpiInfoDataLakeAPI,exemptByAgencySystem,"AI Suggestion: The repository is tightly integrated with CDC's EDAV Lakehouse and requires service principle access for communication, indicating it's part of CDC's internal infrastructure and not designed for external use.",2025-06-07T21:47:59.069331+00:00
github_627058124,cdc-steampipe,exemptNonCode,Non-code repository (languages: [PowerShell]),2025-06-07T21:47:59.086266+00:00
github_874360280,cdc-clinicinfo-event-ivams-sapi,exemptNonCode,Non-code repository (languages: [None detected]),2025-06-07T21:47:59.105414+00:00
